profundidad,edad_min,edad_max,edad_median,edad_mean,Abies,Acacia,Agave,Alnus_oblongifolia,Arbutus,Berberis,Bursera_,Cactoideae,Canotia,Ceiba,Celtis,Populus,Cylindropuntia,Dasylirion,Desmanthus,Dodonaea_viscosa,Ephedra,Fraxinus,Juglans,Juniperus,Mimosa,Opuntia,Parkinsonia_aculeata,Picea,Pinus,Prosopis,Quercus,Rosaceae,Rutaceae,Salix,Sambucus_type,Tecoma_stans,Acanthaceae,Allionia,Amaranthaceae,Ambrosia,Apiaceae,Artemisia_ludoviciana,Asteroideae,Boerhavia_type,Boraginaceae,Brassicaceae,Callaeum_macropterum,Caryophyllaceae,Cichorioideae,Cirsium,Clematis,Convolvulaceae,Crassulaceae,Cucurbitaceae,Cyperaceae,Dalea,Eriogonum,Eustoma,Euphorbiaceae,Evolvulus,Faboideae,Gentianaceae,Ipomoea,Kallstroemia,Lamiaceae,Lippia_type,Lotus_type,Lythrum,Malvaceae,Marina,Mitracarpus,Monocotyledoneae,Nama,Oenothera,Onagraceae,Plantago,Poaceae,Cerealia,Polemoniaceae,Polygonum,Ranunculaceae,Rhamnaceae,Rubiaceae,Solanaceae,Tribulus,Trixis_californica,Typha,Urtica,Verbenaceae,Zea_mays,Zygophyllaceae,Pteridophyta,Total
5,27,402,155,171,0,0,0,0,0,0,0,0.008,0,0,0.021,0,0.008,0,0,0,0,0,0,0,0,0.008,0,0,0.055,0.144,0.013,0,0,0,0.004,0,0,0,0.212,0.233,0,0,0.051,0.03,0.038,0.008,0,0,0,0,0,0,0,0,0.034,0,0,0,0.013,0,0.008,0,0,0,0.008,0,0,0,0.008,0,0,0,0,0,0.004,0.004,0.021,0,0,0,0,0,0,0.008,0,0,0,0,0,0,0,0.008,0.953
10,141,693,357,374,0,0.005,0,0,0,0,0,0.042,0,0,0.016,0,0.005,0,0,0.005,0,0,0,0,0,0,0,0,0.037,0.204,0.031,0,0,0,0,0,0,0,0.304,0.099,0,0,0.063,0,0.058,0,0,0,0,0,0,0,0,0,0.021,0,0,0,0,0,0,0.016,0,0,0.01,0,0,0,0,0.005,0,0,0,0,0,0.01,0.037,0,0,0,0,0,0,0.005,0,0,0,0,0,0,0,0.005,0.979
15,286,954,559,576,0,0,0,0,0,0,0,0.045,0.017,0.011,0.011,0,0,0,0,0,0,0,0,0,0,0.011,0,0,0.034,0.118,0.101,0,0,0,0,0,0.006,0,0.202,0.112,0,0.006,0.107,0,0,0,0,0,0,0,0,0,0,0.006,0,0,0,0,0.006,0,0,0,0,0,0,0,0,0,0.017,0,0,0,0.039,0,0,0,0.039,0,0,0,0,0,0,0,0,0,0,0,0.051,0,0,0.011,0.949
21,471,1248,808,822,0,0,0,0,0,0,0,0.017,0.017,0.017,0,0,0,0,0,0,0,0,0,0,0,0.052,0,0,0.017,0,0.138,0,0,0.017,0,0,0,0,0.172,0.052,0,0.034,0.19,0,0,0,0,0,0,0,0,0,0,0,0.017,0,0,0,0,0,0,0,0,0,0,0.069,0,0,0,0,0,0,0,0,0,0,0.138,0,0,0,0,0,0,0,0,0,0.017,0,0,0,0,0,0.966
24,556,1400,930,944,0,0,0,0,0,0,0,0.015,0.012,0,0.015,0,0,0,0,0,0,0,0,0,0,0,0,0,0.021,0,0.163,0,0,0,0,0,0,0,0.214,0.081,0,0.006,0.235,0.006,0,0,0,0,0.003,0,0,0,0,0,0.03,0.003,0,0,0.006,0,0,0,0.003,0,0,0.009,0,0,0,0,0,0,0,0,0,0,0.13,0,0,0,0,0,0,0,0,0,0.009,0,0,0,0,0.006,0.967
27,657,1527,1053,1066,0,0,0,0,0,0,0,0,0.009,0,0.016,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.009,0.094,0,0,0,0,0,0.006,0,0.281,0.056,0,0.003,0.244,0,0,0,0,0,0.013,0,0.003,0,0,0,0.016,0,0,0,0.059,0,0,0,0,0,0,0.019,0,0,0,0,0,0,0,0,0,0,0.097,0,0,0,0,0,0,0,0,0.009,0.006,0,0,0,0,0,0.941
30,752,1677,1176,1189,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.003,0,0,0,0.003,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.007
33,867,1830,1297,1311,0,0.003,0,0,0,0,0,0.003,0,0,0.007,0,0,0,0,0,0,0,0.003,0,0,0,0,0,0.063,0.003,0.119,0,0,0,0,0,0,0,0.168,0.063,0,0.007,0.297,0,0,0,0,0,0.003,0,0,0,0,0,0.02,0,0,0,0.01,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.182,0.003,0,0,0,0,0,0,0,0,0.017,0,0,0,0,0.007,0.977
36,962,1977,1423,1434,0,0,0,0,0,0,0.008,0.008,0.008,0,0.015,0,0,0,0,0.004,0,0,0,0,0,0,0,0,0,0,0.147,0,0.004,0,0,0,0,0,0.071,0.083,0,0.008,0.353,0,0,0,0,0,0.023,0,0,0,0,0,0.015,0,0.004,0,0.015,0,0,0,0.004,0,0,0.004,0,0,0,0,0,0,0,0,0,0,0.143,0,0,0,0,0,0,0,0,0.004,0.011,0,0,0,0,0.008,0.936
39,1073,2108,1542,1553,0,0,0,0,0,0,0,0,0.009,0,0.009,0,0,0,0,0,0,0,0,0,0,0,0,0,0.009,0,0.153,0,0,0,0,0,0,0,0.162,0.054,0,0.009,0.252,0,0,0,0,0,0,0,0,0,0,0,0.009,0.009,0,0,0.018,0,0,0,0,0,0,0.009,0,0,0,0,0,0,0,0,0,0,0.225,0,0,0,0,0,0,0,0,0,0.018,0,0,0,0,0,0.946
